"Cron jobs","Tâches cron"
"Cron jobs report","Rapport des tâches cron"
"History lifetime","Durée de vie de l'historique"
"Replaces the history lifetime of the cron jobs (see {{System/Cron}}).","Remplace la durée de vie de l'historique des tâches cron (voir {{Système/Cron}})."
"Number of jobs per page","Nombre de tâches par page"
"Use a text filter","Utiliser un filtre texte"
"Number of jobs","Nombre de tâches"
"Table size","Taille de la table"
"Email reports","Rapports par courriel"
"Separate addresses by a space.","Séparer les adresses par un espace."
"Send an email now","Envoyer un email maintenant"
"See {{Cron jobs}}.","Voir {{Tâches cron}}."
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"Manage cron jobs","Gérer les tâches cron"
"New cron job","Nouvelle tâche cron"
"Job","Tâche"
"Scheduled into","Programmée dans"
"Duration","Durée"
"Running","En cours"
"Missed","Manquée"
" Created At","Créée le"
" Scheduled At","Programmée le"
" Executed At","Exécutée le"
" Finished At","Terminée le"
" Error","En erreur"
" Success","Terminée"
"Cron job number %d - %s","Tâche cron numéro %d - %s"
"Restart the job","Relancer la tâche"
"Run the job","Lancer la tâche"
"Duration: %s","Durée : %s"
"Status: <span %s>%s</span>","Statut : <span %s>%s</span>"
"Code: %s","Code : %s"
" Created At: %s","Créée le : %s"
" Scheduled At: %s","Programmée le : %s"
" Executed At: %s","Exécutée le : %s"
" Finished At: %s","Terminée le : %s"
"Module name","Nom du module"
"Editable job","Tâche éditable"
" Enabled","Activée"
" Disabled","Désactivée"
"Read-only job","Tâche en lecture seule"
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"Job %d: %s","Tâche %d : %s"
"Status: %s (%s)","Statut : %s (<span lang=""en"">%s</span>)"
"Can not send the report by email to %s.","Impossible d'envoyer le rapport par courriel à %s."
" monthly","mensuel"
" weekly","hebdomadaire"
" daily","quotidien"
"%d days","%d jours"
"%d days (%d weeks)","%d jours (%d semaines)"
"%d days (%d month)","%d jours (%d mois)"
"%d days (%d months)","%d jours (%d mois)"
"The <em>%s</em> field is a required field.","Le champ <em>%s</em> est un champ obligatoire."
"Job number %d has been successfully scheduled.","La tâche numéro %d a bien été programmée."
"Job number %d has been successfully started.","La tâche numéro %d a bien été démarrée."
"Job number %d has been successfully canceled.","La tâche numéro %d a bien été annulée."
"Job number %d has been successfully deleted.","La tâche numéro %d a bien été supprimée."
"Job <strong>%s</strong> has been successfully <strong>enabled</strong>.","La tâche <strong>%s</strong> a bien été <strong>activée</strong>."
"Job <strong>%s</strong> has been successfully <strong>disabled</strong>.","La tâche <strong>%s</strong> a bien été <strong>désactivée</strong>."
